normalized_text,sentimen
padahal sudah ngerahin bot buat menyerang andika maupun pdip tapi ahmad luthfi taj yasin masih saja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo,negatif
kasus ini jaman sih lutfi tukang remes pantat biduan jadi kapolda jateng kasihan sekali korban sudah mencari keadilan tapi tidak di gubris oleh isilop memang kapret itu lembaga jadi ingat motor saya yang hilang pas laporan ke isilop bahkan di bentak,negatif
calon gubernur jawa tengah ahmad luthfi,positif
sudah waktunya jateng dipimpin pemimpin yang tegas mengayomi dan ada untuk rakyanya serta dekat dengan ulama dan tokoh agama yang ada di jateng monggo coblos nomor urut pak ahmad luthfi gus yasin,positif
bismillah semua karena allah ayo dukung pak ahmad luthfi gus yasin ngopeni ngelakoni nomor urut untuk jateng lebih baik,positif
kabar baik jateng tetap banteng survei terbaru yang digelar panel survei indonesia dari september hingga oktober hasilnya rambo menang segalanya tingkat kesukaan andikahendi luthfiyasin elektabilitas pertanyaan terbuka andikahendi,negatif
kesederhanaan dan kepedulian dari ahmad luthfi yang selalu menyapa rakyat,positif
ngopeni ngelakoni mugi pak ahmad luthfi gus yasin menjadi gubernur dan wakilgubernur jawa tengah,positif
cagubcawagub jateng ahmad luthfi taj yasin rupanya tidak laku di kalangan gen saja survei terbaru mereka kalah sama andika perkasahendrar prihadi penasaran berapa selisih elektabilitas mereka di kalangan gen z saja,positif
calon gubernur jawa tengah jateng ahmad luthfi menyapa sejumlah relawan warga dan pendukung yang menanti kedatangan presiden ke joko widodo jokowi,positif
jakarta cagub jawa tengah nomor urut ahmad luthfi menghadiri menonton bareng menonton bareng timnas indonesia vs china,positif
dalam momen yang penuh harapan ahmad luthfi menyampaikan pentingnya doa bersama dari generasi milenial untuk mendukung prabowogibran dalam menjalankan amanahnya,positif
hari ini prabowo dilantik berapa bulan ke depan menyusul dilantik rk ahmad luthfi dan khofifah apa indak tambah stres kelen tahu kedepan,negatif
ahmad luthfi diserang isu sambo bep biasa pohon kalau banyak buahnya dilempari orang,positif
pilgub jateng ahmad luthfi soroti kurangnya infrastruktur pdam dan dorong inovasi desalinasi,positif
kala ahmad luthfi ajak genz doakan prabowo jelang pelantikan presiden,positif
datang ke pati ahmad luthfi bangga masyarakat di pinggiran hutan bisa ekspor pete ke jepang,positif
ahmad luthfi calon gubernur cagub jateng nomor urut berjanji bakal menyelesaikan segudang persoalan yang membelit petani di kabupaten pati,positif
ahmad luthfi menjaga jawa tengah e andika ben menonton ning tv bae,positif
