text;sentimen
Padahal sudah ngerahin bot Buat nyerang Andika maupun PDIP tapi Ahmad Luthfi - Taj Yasin masih aja ketinggalan jauh dari Andika Perkasa - Hendrar Prihadi. Ini menjadi bukti bahwa masyarakat Jawa Tengah itu butuh Rambo bukan Sambo. https://t.co/ZGdHrST8sJ;negatif
Kasus ini jaman si Lutfi ( Tukang remes pantat biduan ) jadi Kapolda JATENG.. Kasian sekali korban sudah mencari keadilan tapi tidak di gubris oleh ISILOP .. Emang kapret itu lembaga jadi inget motor aing yang ilang pas laporan ke isilop malah di bentak . @WagimanDeep212_ https://t.co/rksaVKxBCs;negatif
Calon Gubernur Jawa Tengah Ahmad Luthfi ..... https://t.co/1Y1fJ2dGvi;positif
Sudah waktunya Jateng dipimpin pemimpin yang tegas mengayomi dan ada untuk rakyanya serta dekat dengan ulama dan tokoh agama yang ada di jateng monggo coblos nomor urut 02 Pak Ahmad Luthfi Gus Yasin. ;positif
Bismillah semua karena Allah yuk dukung Pak Ahmad Luthfi Gus Yasin Ngopeni Ngelakoni nomor urut 02 untuk Jateng lebih baik. ;positif
Kabar baik Jateng tetap banteng. Survei terbaru yg digelar Panel Survei Indonesia dari 30 September hingga 10 Oktober 2024. Hasilnya Rambo menang segalanya. Tingkat kesukaan Andika-Hendi 78 9% Luthfi-Yasin 60 8%. Elektabilitas pertanyaan terbuka Andika-Hendi 48 7% https://t.co/w3Qar7Spot;negatif
kesederhanaan dan kepedulian dari Ahmad Luthfi yang selalu menyapa rakyat. ;netral
Ngopeni Ngelakoni mugi Pak Ahmad Luthfi Gus Yasin menjadi Gubernur dan Wakilgubernur Jawa Tengah.;netral
Cagub-Cawagub Jateng Ahmad Luthfi -Taj Yasin rupanya tak laku di kalangan Gen Z. Survei terbaru mereka kalah sama Andika Perkasa-Hendrar Prihadi. Penasaran berapa selisih elektabilitas mereka di kalangan Gen Z baca beritanya di sini: https://t.co/2SV2jY0457 #pilkadajateng;netral
Calon Gubernur Jawa Tengah (Jateng) Ahmad Luthfi menyapa sejumlah relawan warga dan pendukung yang menanti kedatangan Presiden ke-7 Joko Widodo (Jokowi).;netral
Jakarta - Cagub Jawa Tengah nomor urut 2 Ahmad Luthfi menghadiri nonton bareng (nobar) Timnas Indonesia vs China;netral
