text;sentimen;cleaned_text;missing_words;case_folding;normalized_text;normalized_count
Pelaku seni Jateng pilih yang ga kaleng. Andika Perkasa-Hendi untuk Jawa Tengah Pilih Rambo bukan Sambo.;positif;pelaku seni jateng pilih yang ga kaleng andika perkasahendi untuk jawa tengah pilih rambo bukan sambo;0;pelaku seni jateng pilih yang ga kaleng andika perkasahendi untuk jawa tengah pilih rambo bukan sambo;pelaku seni jateng pilih yang enggak kaleng andika perkasahendi untuk jawa tengah pilih rambo bukan sambo;1
Pagi tadi saya dan Mas Hendrar Prihadi bertemu dengan Ibu Juliana Richards Wakil Kepala Program Kerjasama Kedutaan Besar Inggris. Pertemuan ini membahas peluang kerjasama strategis di bidang pengentasan kemiskinan kesehatan dan pendidikan. Kedutaan Besar Inggris menyatakan mendukung https://t.co/Kl19v03Ddj;positif;pagi tadi saya dan mas hendrar prihadi bertemu dengan ibu juliana richards wakil kepala program kerjasama kedutaan besar inggris pertemuan ini membahas peluang kerjasama strategis di bidang pengentasan kemiskinan kesehatan dan pendidikan kedutaan besar inggris menyatakan mendukung;1;pagi tadi saya dan mas hendrar prihadi bertemu dengan ibu juliana richards wakil kepala program kerjasama kedutaan besar inggris pertemuan ini membahas peluang kerjasama strategis di bidang pengentasan kemiskinan kesehatan dan pendidikan kedutaan besar inggris menyatakan mendukung;pagi tadi saya dan mas hendrar prihadi bertemu dengan ibu juliana richards wakil kepala program kerjasama kedutaan besar inggris pertemuan ini membahas peluang kerjasama strategis di bidang pengentasan kemiskinan kesehatan dan pendidikan kedutaan besar inggris menyatakan mendukung;0
Memang benar kata pihak lawan pak Andika ini memang kelasnya calon presiden. Pengalamannya bukan hanya nasional tapi juga internasional. Warga Jawa Tengah beruntung punya gubernur sekelas presiden. Calon Gubernur dan Wakil Gubernur Jawa Tengah Andika Perkasa dan Hendrar Prihadi https://t.co/Vv7IZmFYtB;positif;memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden pengalamannya bukan hanya nasional tapi juga internasional warga jawa tengah beruntung punya gubernur sekelas presiden calon gubernur dan wakil gubernur jawa tengah andika perkasa dan hendrar prihadi;1;memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden pengalamannya bukan hanya nasional tapi juga internasional warga jawa tengah beruntung punya gubernur sekelas presiden calon gubernur dan wakil gubernur jawa tengah andika perkasa dan hendrar prihadi;memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden pengalamannya bukan hanya nasional tapi juga internasional warga jawa tengah beruntung punya gubernur sekelas presiden calon gubernur dan wakil gubernur jawa tengah andika perkasa dan hendrar prihadi;0
Pak Andika Perkasa selalu jadi idola di mana-mana. Pilih Rambo bukan Sambo. https://t.co/m7j5x6tYjB;positif;pak andika perkasa selalu jadi idola di manamana pilih rambo bukan sambo;1;pak andika perkasa selalu jadi idola di manamana pilih rambo bukan sambo;pak andika perkasa selalu jadi idola di manamana pilih rambo bukan sambo;0
Beruntungnya warga Jateng ini berkah.️ Hendi Sebut Andika Perkasa Potensi Besar Jateng Ini Penjelasannya. Menurut pak @hendrarprihadi sosok @AndikaPerkasa02 sebagai mantan Panglima TNI memiliki jaringan yang luas tidak hanya skala nasional namun juga internasional. Tidak https://t.co/wj1VP4QUZU;positif;beruntungnya warga jateng ini berkah hendi sebut andika perkasa potensi besar jateng ini penjelasannya menurut pak sosok sebagai mantan panglima tni memiliki jaringan yang luas tidak hanya skala nasional namun juga internasional tidak;3;beruntungnya warga jateng ini berkah hendi sebut andika perkasa potensi besar jateng ini penjelasannya menurut pak sosok sebagai mantan panglima tni memiliki jaringan yang luas tidak hanya skala nasional namun juga internasional tidak;beruntungnya warga jateng ini berkah hendi sebut andika perkasa potensi besar jateng ini penjelasannya menurut pak sosok sebagai mantan panglima tni memiliki jaringan yang luas tidak hanya skala nasional namun juga internasional tidak;0
Andika perkasa siap bikin Jateng perkasa. Andika Adikrishna siap bikin Blora melenting. https://t.co/UsLMPGCGwe;positif;andika perkasa siap bikin jateng perkasa andika adikrishna siap bikin blora melenting;1;andika perkasa siap bikin jateng perkasa andika adikrishna siap bikin blora melenting;andika perkasa siap bikin jateng perkasa andika adikrishna siap bikin blora melenting;0
Karakter pak @AndikaPerkasa02 yang tidak bisa jauh dari Ibu Hetty jelas membuat iri ibu ibu yang lain. Karakter seperti ini yang di butuhkan jawa tengah dimana kesetiaan Pak Andika dan sikap ke ibuan Bu Hetty penting bagi perkembang Jawa Tengah.;positif;karakter pak yang tidak bisa jauh dari ibu hetty jelas membuat iri ibu ibu yang lain karakter seperti ini yang di butuhkan jawa tengah dimana kesetiaan pak andika dan sikap ke ibuan bu hetty penting bagi perkembang jawa tengah;1;karakter pak yang tidak bisa jauh dari ibu hetty jelas membuat iri ibu ibu yang lain karakter seperti ini yang di butuhkan jawa tengah dimana kesetiaan pak andika dan sikap ke ibuan bu hetty penting bagi perkembang jawa tengah;karakter pak yang tidak bisa jauh dari ibu hetty jelas membuat iri ibu ibu yang lain karakter seperti ini yang di butuhkan jawa tengah dimana kesetiaan pak andika dan sikap ke ibuan bu hetty penting bagi perkembang jawa tengah;0
Pelan-pelan tapi pasti akhirnya pak Andika Perkasa - Hendi unggul atas Luthfi. Tapi jangan lengah tetap semangat untuk #Jatengperkasa https://t.co/VxI0syMkXH;positif;pelanpelan tapi pasti akhirnya pak andika perkasa hendi unggul atas luthfi tapi jangan lengah tetap semangat untuk;3;pelanpelan tapi pasti akhirnya pak andika perkasa hendi unggul atas luthfi tapi jangan lengah tetap semangat untuk;pelanpelan tapi pasti akhirnya pak andika perkasa hendi unggul atas luthfi tapi jangan lengah tetap semangat untuk;0
Berkunjung ke PT. Pandatex Magelang Andika Serap Aspirasi Pekerja Tinjau Potensi Lapangan Pekerjaan. https://t.co/IJP2bWYyT3;positif;berkunjung ke pt pandatex magelang andika serap aspirasi pekerja tinjau potensi lapangan pekerjaan;1;berkunjung ke pt pandatex magelang andika serap aspirasi pekerja tinjau potensi lapangan pekerjaan;berkunjung ke pt pandatex magelang andika serap aspirasi pekerja tinjau potensi lapangan pekerjaan;0
Ganjar Pranowo menegaskan elektabilitas Andika Perkasa terus meningkat di Jawa Tengah karena kerja dari partai politik dan relawan. Rambo menuju Jateng 1. https://t.co/DPmGH3R281;positif;ganjar pranowo menegaskan elektabilitas andika perkasa terus meningkat di jawa tengah karena kerja dari partai politik dan relawan rambo menuju jateng ;2;ganjar pranowo menegaskan elektabilitas andika perkasa terus meningkat di jawa tengah karena kerja dari partai politik dan relawan rambo menuju jateng ;ganjar pranowo menegaskan elektabilitas andika perkasa terus meningkat di jawa tengah karena kerja dari partai politik dan relawan rambo menuju jateng;0
